County,Location,Address,Latitude,Longitude
Allegany,Allegany County Office Complex,"701 Kelly Road, Cumberland, MD 21502",39.643471,-78.780197
Allegany,Mountain Ridge High School,"100 Dr. Nancy S. Grasmick Lane, Frostburg, MD 21532",39.650429,-78.913373
Anne Arundel,Annapolis Senior Activity Center,"119 South Villa Avenue, Annapolis, MD 21401",38.97473,-76.512023
Anne Arundel,Anne Arundel County Board of Elections,"6740 Baymeadow Drive, Glen Burnie, MD 21060",39.186644,-76.595575
Anne Arundel,Anne Arundel County Government - Heritage Office Complex,"2660-2666 Riva Road, Annapolis, MD 21401",38.974811,-76.561359
Anne Arundel,Anne Arundel County Police Headquarters,"8495 Verterans Highway, Millersville, MD 21108",39.099371,-76.625533
Anne Arundel,Arundel Center North - Glen Burnie Town Center,"101 Crain Highway North, Glen Burnie, MD 21061",39.165069,-76.624521
Anne Arundel,Bowie Elks Lodge 2309,"1506 Defense Highway, Gambrills, MD 21054",38.992759,-76.682872
Anne Arundel,Broadneck Library,"1275 Green Holly Drive, Annapolis, MD 21409",39.036613,-76.454294
Anne Arundel,Brooklyn Park Senior Activity Center,"202 Hammonds Lane, Brooklyn Park, MD 21225",39.215789,-76.620654
Anne Arundel,Busch Annapolis Library,"1410 West Street, Annapolis, MD 41401",38.978777,-76.515179
Anne Arundel,Crofton Library,"1681 Riedel Road, Crofton, MD 21114",39.013543,-76.679427
Anne Arundel,Deale Library,"5940 Deale-Churchton Road, Deale, MD 20751",38.783642,-76.553188
Anne Arundel,Earleigh Heights Volunteer Fire Company #12,"161 Ritchie Highway, Severna Park, MD 21146",39.099031,-76.564329
Anne Arundel,Glen Burnie Library,"1010 Eastway, Glen Burnie, MD 21060",39.153403,-76.613101
Anne Arundel,Harmans/Dorsey Fire Station #21,"1367 Dorsey Road, Hanover, MD 21076",39.158301,-76.712724
Anne Arundel,Jacobsville Fire Station #10,"3700 Mountain Road, Pasadena, MD 21122",39.124548,-76.524812
Anne Arundel,Jones Station Fire Station #23,"960 Ritchie Highway, Severna Park, MD 21146",39.056436,-76.527549
Anne Arundel,Lake Shore Fire Station #20,"4642 Mountain Road, Pasadena, MD 21122",39.106384,-76.477842
Anne Arundel,Linthicum Library,"400 Shipley Road, Linthicum, MD 21090",39.201784,-76.657924
Anne Arundel,Marley Volunteer Fire Company #18,"7726 Baltmore Annapolis Boulevard, Glen Burnie, MD 21060",39.152469,-76.59655
Anne Arundel,Maryland City at Russett Library,"3501 Russett Common, Laurel, MD 20724",39.101985,-76.803928
Anne Arundel,North Arundel Aquatic Center,"7888 South Crain Highway, Glen Burnie, MD 21061",39.137898,-76.63614
Anne Arundel,O'Malley Senior Activity Center,"1275 Odenton Road, Odenton, MD 21113",39.081204,-76.695936
Anne Arundel,Odenton Library,"1325 Annapolis Road, Odenton, MD 21113",39.08724,-76.7002
Anne Arundel,Pascal Senior Actitivty Center,"125 Dorsey Road, Glen Burnie, MD 21060",39.16781,-76.635656
Anne Arundel,Riviera Beach Library,"1130 Duvall Highway, Pasadena, MD 21122",39.145206,-76.525437
Anne Arundel,Roger “Pip” Moyer Recreation Center,"273 Hilltop Lane, Annapolis, MD 21403",38.962989,-76.504717
