County	Phone	Email	Address	Website
Allegany	301-777-5931	elections@alleganygov.org	701 Kelly Road, Suite 231, Cumberland MD 21502-3401	https://alleganygov.org/158/Election-Office
Anne Arundel	410-222-6600	elections@aacounty.org	6740 Baymeadow Drive, Glen Burnie, MD 21060	https://www.aacounty.org/boards-and-commissions/board-of-elections/
Baltimore	410-887-5700	elections@baltimorecountymd.gov	5 Crossing Way, Owings Mills MD 21117	https://www.baltimorecountymd.gov/Agencies/elections/index.html
Calvert	410-535-2214	elections@calvertcountymd.gov	30 Duke Street - Lower Level, Prince Frederick, MD 20678	https://www.calvertcountymd.gov/154/2022-Election
Caroline	410-479-8145	election@carolinemd.org	403 S. Seventh Street, Suite 247, Denton MD 21629-1335	https://www.carolinemdelections.org/
Carroll	410-386-2080	ccboe@carrollcountymd.gov	300 South Center Street, Room 212, Westminster MD 21157-5248	https://elections.carrollcountymd.gov/
Cecil	410-996-5310	voting@ccgov.org	200 Chesapeake Blvd., Suite 1900, Elkton, MD 21921-6395	https://www.ccgov.org/government/election-board
Charles	301-934-8972	elections@charlescountymd.gov	201 East Charles Street, La Plata, MD 20646	https://www.charlescountymd.gov/government/board-of-elections
Dorchester	410-228-2560	Gwendolyn.dales@maryland.gov	1000 Goodwill Ave., Cambridge, MD 21613	https://www.docomdelections.org/
Frederick	301-600-8683	electionboard@FrederickCountyMD.gov	8490 Progress Drive, Frederick, MD 21701	https://www.FrederickCountyMD.gov/elections
Garrett	301-334-6985	sfratz@garrettcounty.org	2008 Maryland Highway, Suite 1, Mountain Lake Park MD 21550	https://garrettcounty.org/board-of-elections
Harford	410-638-3565	elections@harfordcountymd.gov	133 Industry Lane, Forest Hill MD 21050	https://www.harfordvotes.gov
Howard	410-313-5820	gmickley@howardcountymd.gov	9770 Patuxent Woods Drive, Suite 200, Columbia MD 21045	https://www.howardcountymd.gov/board-elections
Kent	410-778-0038	elections@kentgov.org	135 Dixon Drive, Chestertown MD 21620-1141	https://www.kentcountyelections.org
Montgomery	240-777-8500	elections@montgomerycountymd.gov	18753-210 N. Frederick Avenue, Gaithersburg MD 20879-3121	https://www.777vote.org/
Prince George's	301-341-7300	election@co.pg.md.us	1100 Mercantile Lane, Suite 115A, Largo, MD 20774	https://www.princegeorgescountymd.gov/boards-commissions/board-elections
Queen Anne's	410-758-0832	Christine.Jones@maryland.gov	110 Vincit Street, Suite 102, Centreville, MD 21617	https://www.qacelections.com/
St Mary's	301-475-4200	wendy.adkins@maryland.gov	23250 Hollywood Road, Leonardtown, MD 20650	https://www.stmaryscountymd.gov/supervisorofelections/
Somerset	410-651-0767	elections.somersetco@maryland.gov	11916 Somerset Avenue, Princess Anne, MD 21853	https://www.somersetmd.us/government/board_of_elections.php
Talbot	410-770-8099	Talbot.Elections@maryland.gov	215 Bay Street, Easton MD, 21601	https://talbotcountymd.gov/index.php?page=Election_Board
Washington	240-313-2050	WashCo.Elections@maryland.gov	17718 Virginia Avenue, Hagerstown, MD 21740	https://www.washco-mdelections.org/
Wicomico	410-548-4830	wicomico.elections@maryland.gov	345 Snow Hill Road, Salisbury, MD 21804	http://www.wicomicocounty.org
Worcester	410-632-1320	Worcester.Elections@maryland.gov	201 Belt Street, Suite C, Snow Hill MD 21863-1310	https://www.co.worcester.md.us/departments/board-elections
